"Rochester","MN","","55901","","","","3/24/2015 12:54:02 AM","Peace Plaza","","36CB6510-F813-E742-B1FA-4565BDA3ABD0"
"Rochester ","Minnesota","12345 45th st NW","55901","","","test@yup.com","3/24/2015 12:54:02 AM","Test Venue","456-789-0123","B446220D-9649-1941-80DE-495645C4CF2B"
"St. Paul","MN","","","","","mbauer@graveshospitalitystp.com","3/24/2015 12:54:02 AM","Crown Plaza Hotel","651-605-6950","DFA1E4CC-E66B-E846-B57A-62B0EFB4BD3C"
"Mantorville","MN","","","","ben assef","","3/24/2015 12:54:02 AM","Restoration House","","24A0BA4A-6D25-9E49-B9C0-0B8AD9C2A532"
"Winona","MN","","","","ben assef","","3/24/2015 12:54:02 AM","Masonic Temple","","3C5A8D4A-7CCB-384A-A353-CD01B1BCD325"
"Winona","MN","","","","ben assef","","3/24/2015 12:54:02 AM","Broken World Records","","E610EE81-3174-554B-A928-1A84F7A444C9"
"Winona","MN","","","","ben assef","","3/24/2015 12:54:02 AM","Acoustic Cafe","","E4C06AF2-DADB-0B47-B8FB-556B2BAB295A"
"Winona","MN","","","","ben assef","","3/24/2015 12:54:02 AM","Winona Arts Center","","8B23C8E7-AC99-A043-B580-45690547F435"
"La Crosse","Wi","","","","ben assef","","12/4/2015 9:32:22 PM","Charmant","","9D1638EC-2A85-3645-AF8B-18550974E44B"
"La Crosse","WI","","","","ben assef","","12/4/2015 9:31:41 PM","Cavalier","","83D39277-49F4-8349-A928-FE3260206856"
"La Crosse","WI","","","","ben assef","","12/4/2015 9:30:56 PM","Court On Main","","821E78C8-38AC-D74C-82C0-8D53B898A121"
"Winona","MN","","","","ben assef","","12/4/2015 9:27:45 PM","Eagles Club","","03D2C399-7649-404E-B780-B42338EA321C"
"Winona","MN","","","","ben assef","","12/4/2015 9:29:45 PM","Ed's","","04C3AE17-B343-F744-A22B-FF0BA3F5E435"
"Winona","MN","","","","ben assef","","12/4/2015 9:28:28 PM","Tent","","B0CC260B-6AD5-0143-9A9E-121360665860"
